num,label,code_len,con_num,keyword_num,keyword_fix,username,permission,ds
24337,1,4350,42,0,0,mduft,0,"title:Jacoco plugin causes implicit dependencies between unrelated tasks description:<!--- Please follow the instructions below. We receive dozens of issues every week, so to stay productive, we will close issues that don't provide enough information. Please open Android-related issues on the Android Issue Tracker at https://source.android.com/source/report-bugsPlease open Gradle Native-related issues at https://github.com/gradle/gradle-native/issues--><!--- Provide a brief summary of the issue in the title above -->### Expected BehaviorWe're applying the jacoco plugin to multiple tasks within a single project, all of type JavaExec or JavaExecFork (psxpaul external plugin) like so:```jacoco {    applyTo initTestBDeploy    applyTo checkTestBDeploy    applyTo startTestBDeploy    if(!project.hasProperty('cypressNoCentral')) {        applyTo startTestBDeployCentral        applyTo startTestBDeployManaged    }}```Expectation is that these tasks maintain their ""current"" relationship.### Current BehaviorBuild fails with this message:```FAILURE: Build failed with an exception.* What went wrong:Some problems were found with the configuration of task ':test-data:startTestBDeployCentral' (type 'JavaExecFork').  - Gradle detected a problem with the following location: 'E:\other\workspaces\deployment\deployment\test-data'.    Reason: Task ':test-data:startTestBDeployCentral' uses this output of task ':test-data:checkTestBDeploy' without declaring an explicit or implicit dependency. This can lead to incorrect results being produced, depending on what order the tasks are executed.    Possible solutions:      1. Declare task ':test-data:checkTestBDeploy' as an input of ':test-data:startTestBDeployCentral'.      2. Declare an explicit dependency on ':test-data:checkTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#dependsOn.      3. Declare an explicit dependency on ':test-data:checkTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#mustRunAfter.    Please refer to https://docs.gradle.org/8.0.2/userguide/validation_problems.html#implicit_dependency for more details about this problem.  - Gradle detected a problem with the following location: 'E:\other\workspaces\deployment\deployment\test-data'.    Reason: Task ':test-data:startTestBDeployCentral' uses this output of task ':test-data:initTestBDeploy' without declaring an explicit or implicit dependency. This can lead to incorrect results being produced, depending on what order the tasks are executed.    Possible solutions:      1. Declare task ':test-data:initTestBDeploy' as an input of ':test-data:startTestBDeployCentral'.      2. Declare an explicit dependency on ':test-data:initTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#dependsOn.      3. Declare an explicit dependency on ':test-data:initTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#mustRunAfter.    Please refer to https://docs.gradle.org/8.0.2/userguide/validation_problems.html#implicit_dependency for more details about this problem.  - Gradle detected a problem with the following location: 'E:\other\workspaces\deployment\deployment\test-data'.    Reason: Task ':test-data:startTestBDeployCentral' uses this output of task ':test-data:startTestBDeploy' without declaring an explicit or implicit dependency. This can lead to incorrect results being produced, depending on what order the tasks are executed.    Possible solutions:      1. Declare task ':test-data:startTestBDeploy' as an input of ':test-data:startTestBDeployCentral'.      2. Declare an explicit dependency on ':test-data:startTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#dependsOn.      3. Declare an explicit dependency on ':test-data:startTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#mustRunAfter.    Please refer to https://docs.gradle.org/8.0.2/userguide/validation_problems.html#implicit_dependency for more details about this problem.```### Context<!--- How has this issue affected you? What are you trying to accomplish? --><!--- Providing context helps us come up with a solution that is most useful in the real world -->If I remove the `jacoco` block alltogether, all returns to normal. So it must be related to the `applyTo`s in there. The issue *also* appears if I comment out all applyTos except for *one* single one. E.g. if I leave the `applyTo startTestBDeploy` in the block, the message becomes shorter, but the error is still there:```FAILURE: Build failed with an exception.* What went wrong:A problem was found with the configuration of task ':test-data:startTestBDeployCentral' (type 'JavaExecFork').  - Gradle detected a problem with the following location: 'E:\other\workspaces\deployment\deployment\test-data'.    Reason: Task ':test-data:startTestBDeployCentral' uses this output of task ':test-data:startTestBDeploy' without declaring an explicit or implicit dependency. This can lead to incorrect results being produced, depending on what order the tasks are executed.    Possible solutions:      1. Declare task ':test-data:startTestBDeploy' as an input of ':test-data:startTestBDeployCentral'.      2. Declare an explicit dependency on ':test-data:startTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#dependsOn.      3. Declare an explicit dependency on ':test-data:startTestBDeploy' from ':test-data:startTestBDeployCentral' using Task#mustRunAfter.    Please refer to https://docs.gradle.org/8.0.2/userguide/validation_problems.html#implicit_dependency for more details about this problem.```### Steps to Reproduce <!---Provide a self-contained example project as an attached archive or a Github project.You can use the following template with a Gradle GitHub action set up to showcase your problem: https://github.com/gradle/gradle-issue-reproducerIn the rare cases where this is infeasible, we will also accept a detailed set of instructions.-->Clone and checkout https://github.com/bdeployteam/bdeploy/tree/gradle-issue. Run `./gradlew runCypressHeadless` or `./gradlew clean build`.You can checkout test-data/build.gradle. It contains the mentioned tasks and the `jacoco` block. Note that some of the mentioned tasks are generated by `createServerTasks`### Your Environment<!--- Include as many relevant details about the environment you experienced the bug in --><!--- A build scan https://scans.gradle.com/get-started is ideal -->Build scan URL: https://gradle.com/s/vvbskvyuxgeq6
"
24280,0,0,296,0,1,jvandort,0,"title:Run dependency actions on entire hierarchy description:Make sure we run the dependency actions on the entire hierarchy before traversing that hierarchy for dependencies and excludes. This is because the dependency actions may themselves modify the hierarchy, so before traversing we need to make sure the hierarchy isn't going to change out from under us.This should be fine since configurations' dependency actions are idempotent. The actions automatically de-register themselves, so once they're called, they're not triggered for subsequent calls.Fixes: #24234
"
24236,0,0,226,0,0,mlopatkin,1,"title:Artifact transforms should be allowed to run external processes description:When the configuration cache is enabled and `STABLE_CONFIGURATION_CACHE` feature is used, a configuration cache problem is emitted if an artifact transform starts an external process.### Expected BehaviorNo configuration cache problem should be reported### Current BehaviorA configuration cache problem is reported for the process started in the transform action.### ContextThe configuration cache prohibits running external processes outside of tasks and value sources, because these may affect the configuration phase, and Gradle has no means to understand how the process output is used. However, artifact transforms are closer to tasks in this regard: they can (and should) define their inputs explicitly, and not being able to run external process to do the actual transformation is too limiting.### Steps to Reproduce TBDAllowing to read files without making them inputs could also be beneficial. It allows to use temp files in the transform action, and further aligns the behavior with tasks in included plugin builds/`buildSrc`.
"
24197,0,636,232,0,0,lacasseio,0,"title:Gradle 8 reports incorrect Configuration flags despite being configured correctly description:<!--- Please follow the instructions below. We receive dozens of issues every week, so to stay productive, we will close issues that don't provide enough information. Please open Android-related issues on the Android Issue Tracker at https://source.android.com/source/report-bugsPlease open Gradle Native-related issues at https://github.com/gradle/gradle-native/issues--><!--- Provide a brief summary of the issue in the title above -->As part of the [Nokee project](https://nokee.dev), we encountered the following erroneous reporting from Gradle information log.### Expected Behavior<!--- Tell us what should happen -->There shouldn't be any information logs printed out for each consumable `Configuration`.### Current Behavior<!--- Tell us what happens instead of the expected behavior -->Gradle reports the following for each consumable `Configuration` part of a dependency resolution:```The configuration :fooElements is both consumable and declarable. This combination is incorrect, only one of these flags should be set.```### Context<!--- How has this issue affected you? What are you trying to accomplish? --><!--- Providing context helps us come up with a solution that is most useful in the real world -->The reports come from [`DefaultConfiguration#logIfImproperConfiguration`](https://github.com/gradle/gradle/blob/5c9b8ef4c2d2ff0760e5d12dc8aa409e0e692fa4/subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/configurations/DefaultConfiguration.java#L1743). However, it seems by default `canBeDeclaredAgainst` comes from this new, half-implemented feature,  `ConfigurationRole`. There is no mention in the release notes of any changes with regard to role-at-creation for `Configuration`. It's possible to change the `canBeDeclaredAgainst` flag, but only via an internal setter [`DeprecatableConfiguration#setCanBeDeclaredAgainst`](https://github.com/gradle/gradle/blob/5c9b8ef4c2d2ff0760e5d12dc8aa409e0e692fa4/subprojects/core-api/src/main/java/org/gradle/internal/deprecation/DeprecatableConfiguration.java#L125). In fact, that method is marked as 8.1 which seems to have leaked into Gradle 8.### Steps to Reproduce <!---Provide a self-contained example project as an attached archive or a Github project.You can use the following template with a Gradle GitHub action set up to showcase your problem: https://github.com/gradle/gradle-issue-reproducerIn the rare cases where this is infeasible, we will also accept a detailed set of instructions.-->Suppose the following code:```configurations.create('fooElements') {  canBeConsumed = true  canBeResolved = false  attributes {    attribute(Attribute.of(""my.attribute"", String), ""value"")  }}configurations.create('foo') {  canBeConsumed = false  canBeResolved = true  attributes {    attribute(Attribute.of(""my.attribute"", String), ""value"")  }}dependencies {  foo project}tasks.register('sayHello') {  doLast {    println 'Hello, world!'    configurations.foo.resolve()  }}```Executing `./gradlew sayHello -i` will report incorrect `Configuration` flags.### Your Environment<!--- Include as many relevant details about the environment you experienced the bug in --><!--- A build scan https://scans.gradle.com/get-started is ideal -->Build scan URL:
"
24175,1,0,0,0,0,SupSaiYaJin,0,"title:tooling models parallel fetch is unusable. description:Using IDEA Build #IC-213.7172.25open gradle.tooling.models.parallel.fetch in registryJust create a new Android Project then the sync will failedthe project is using gradle 7.0.2, the error stacktrace is below.[errortrace.txt](https://github.com/gradle/gradle/files/10899168/errortrace.txt)
"
24174,1,1356,22,0,0,lfygh,0,"title:test task error ""No tests found for given includes"" description:```------------------------------------------------------------Gradle 7.5.1------------------------------------------------------------Build time:   2022-08-05 21:17:56 UTCRevision:     d1daa0cbf1a0103000b71484e1dbfe096e095918Kotlin:       1.6.21Groovy:       3.0.10Ant:          Apache Ant(TM) version 1.10.11 compiled on July 10 2021JVM:          17.0.4 (Azul Systems, Inc. 17.0.4+8-LTS)OS:           Mac OS X 13.1 aarch64```if I have no test class, gradle test task work well ```javatest {    useJUnitPlatform()}```if I only have one test class, and I just exclude it, then the test task error  ""No tests found for given includes"" occurs.```javatest {    useJUnitPlatform()    filter {        excludeTestsMatching(""**Test"")    }}```here is the complete script,```javaplugins {    id 'java'}group 'org.example'version '1.0-SNAPSHOT'repositories {    mavenCentral()}dependencies {    testImplementation 'org.junit.jupiter:junit-jupiter-api:5.8.1'    testRuntimeOnly 'org.junit.jupiter:junit-jupiter-engine:5.8.1'}test {    useJUnitPlatform()    filter {        excludeTestsMatching(""**Test"")    }}```you can create an empty project with idea, then write some simple code,like this:```javapublic class Main {    public static void main(String[] args) {        System.out.println(""Hello world!"");    }}```then write test calss```javaclass MainTest {    @Test    void main() {    }}``` and run ```java./gradlew test```output:```java> Task :test FAILEDFAILURE: Build failed with an exception.* What went wrong:Execution failed for task ':test'.> No tests found for given includes: ```**so, what can I do to skip the error, and what is the diff between the two situations?**
"
24172,1,389,175,0,0,breskeby,0,"title:Configured extra properties on Test task are not accessible on execution with configuration cache enabled description:### Expected BehaviorWe declare extra properties for test tasks using```test.getExtensions().getExtraProperties().set(""dumpOutputOnFailure"", true);```then late when executing this test task we access this extra property again in a test listener:```Object errorReportingEnabled = testTask.getExtensions().getExtraProperties().get(""dumpOutputOnFailure"");```This worked with gradle < 8.0.2### Current BehaviorThe configuration above is broken with the following error message:```* What went wrong:Execution failed for task ':lib:test'.> Cannot get property 'dumpOutputOnFailure' on extra properties extension as it does not exist```### ContextWe ran into this with updating to gradle 8.0.2 (from 7.6) as we couldn't update to earlier gradle 8.x versions due to other blocking issues. So it might be a general problem since 8.0.### Steps to Reproduce Find attached a simple project to reproduce. If you run the attached project with```./gradlew :lib:test --rerun-tasks --scan```the build succeeds. running in addition with `--configuration-cache` makes it fail as described above. This worked with earlier gradle versions.[testExtraProperties.zip](https://github.com/gradle/gradle/files/10898281/testExtraProperties.zip)### Your Environment<!--- Include as many relevant details about the environment you experienced the bug in --><!--- A build scan https://scans.gradle.com/get-started is ideal -->Build scan URL:failure: https://scans.gradle.com/s/fcpr4jdqcpftw
"
24149,1,143,66,0,0,geminiKim,0,"title:The `useJUnitPlatform` setting in `KotlinDSL` does not work correctly since Gradle 8.0 description:In the KotlinDSL environment, the settings that were working correctly until gradle 7.6.1 are not working correctly since 8.0.I've checked the java + groovy environment and it doesn't have this problem.```kotlintasks.register<Test>(""restDocsTest"") {    group = ""verification""    useJUnitPlatform {        includeTags(""restdocs"")    }}```### Expected BehaviorThe test code with the value of `@Tag` from JUnit set to ""restdocs"" should be executed.### Current BehaviorThe `@Tag` is not recognized and the test code runs nothing.### ContextI had an issue with my test code not running when I wanted it to.### Steps to Reproduce If you get a `not-work-tests-gradle8` branch of this [repository](https://github.com/team-dodn/spring-boot-kotlin-template/tree/not-work-tests-gradle8) and do a `restDocsTest`, you can see the same issue.And if you check `restDocsTest` on version `gradle 7.6.1` in the `main` branch of this [repository](https://github.com/team-dodn/spring-boot-kotlin-template), you'll see it working fine.### Your EnvironmentI just migrated from gradle-wrapper 7.6.1 to 8.0
"
24114,0,0,251,0,1,ghale,1,"title:Always fail the test task if unrecoverable errors occur during test result processing description:We fixed an issue with serialization/deserialization of test failures in #24056, but there could be other unrecoverable failures that occur during test result processing that are not captured.  This makes it so that we always fail the test task when such errors occur.
"
24103,0,2631,89,0,0,liutikas,0,"title:Gradle throws/catches a lot of exceptions in AttributeMatchingVariantSelector description:During a profiling of [androidx](https://github.com/androidx/androidx) project I found that Gradle is throwing/catching around 290K instances of `org.gradle.internal.component.NoMatchingVariantSelectionException`### Expected BehaviorNo `org.gradle.internal.component.NoMatchingVariantSelectionException`### Current Behavior290K instances of `org.gradle.internal.component.NoMatchingVariantSelectionException`It seems to happen here```org.gradle.api.internal.artifacts.transform.AttributeMatchingVariantSelector.doSelect(AttributeMatchingVariantSelector.java)org.gradle.api.internal.artifacts.transform.AttributeMatchingVariantSelector.select(AttributeMatchingVariantSelector.java:93)org.gradle.configurationcache.serialization.codecs.LocalFileDependencyBackedArtifactSetCodec$encode$3.accept(LocalFileDependencyBackedArtifactSetCodec.kt:113)org.gradle.configurationcache.serialization.codecs.LocalFileDependencyBackedArtifactSetCodec$encode$3.accept(LocalFileDependencyBackedArtifactSetCodec.kt:111)org.gradle.api.internal.artifacts.type.DefaultArtifactTypeRegistry.visitArtifactTypes(DefaultArtifactTypeRegistry.java:73)org.gradle.configurationcache.serialization.codecs.LocalFileDependencyBackedArtifactSetCodec.encode(LocalFileDependencyBackedArtifactSetCodec.kt:111)org.gradle.configurationcache.serialization.codecs.LocalFileDependencyBackedArtifactSetCodec.encode(LocalFileDependencyBackedArtifactSetCodec.kt:75)org.gradle.configurationcache.serialization.codecs.BindingsBackedCodec.encode(BindingsBackedCodec.kt:52)org.gradle.configurationcache.serialization.DefaultWriteContext.write(Contexts.kt:86)org.gradle.configurationcache.serialization.CombinatorsKt.writeCollection(Combinators.kt:232)org.gradle.configurationcache.serialization.codecs.FileCollectionCodec.encodeContents(FileCollectionCodec.kt:64)org.gradle.configurationcache.serialization.codecs.FileCollectionCodec.encode(FileCollectionCodec.kt:57)org.gradle.configurationcache.serialization.codecs.FileCollectionCodec.encode(FileCollectionCodec.kt:49)org.gradle.configurationcache.serialization.codecs.BindingsBackedCodec.encode(BindingsBackedCodec.kt:52)org.gradle.configurationcache.serialization.DefaultWriteContext.write(Contexts.kt:86)org.gradle.configurationcache.serialization.codecs.transform.TransformStepSpecCodec.encode(Transforms.kt:57)org.gradle.configurationcache.serialization.codecs.transform.TransformStepSpecCodec.encode(Transforms.kt:52)org.gradle.configurationcache.serialization.codecs.BindingsBackedCodec.encode(BindingsBackedCodec.kt:52)org.gradle.configurationcache.serialization.DefaultWriteContext.write(Contexts.kt:86)org.gradle.configurationcache.serialization.codecs.transform.InitialTransformationNodeCodec.doEncode(InitialTransformationNode...```### ContextProfiling using YourKit### Steps to Reproduce ```LD_LIBRARY_PATH=$LD_LIBRARY_PATH:~/yourkit/bin/linux-x86-64/ ./gradlew zipTestConfigsWithApks zipConstrainedTestConfigsWithApks zipOwnersFiles createModuleInfo --dry-run -Pandroidx.profile.yourkitAgentPath=/usr/local/google/home/aurimas/yourkit/bin/linux-x86-64/libyjpagent.so```in androidx checkout.![image](https://user-images.githubusercontent.com/1418185/222261691-19325a0d-5b5c-42b3-9248-a5d6268f3dd0.png)
"
