num,label,code_len,con_num,keyword_num,keyword_fix,username,permission,ds
23344,0,0,275,0,0,charris,1,"title:TYP: Add type annotations for comparison operators to MaskedArray. description:Backport of #23328.The comparison operators seem to be missing annotations; whereas pretty much every other operator is annotated.This causes pytype to conclude that the output of, say, `__gt__` is a regular ndarray, which isn't true.<!--         ----------------------------------------------------------------                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!                ----------------------------------------------------------------*  FORMAT IT RIGHT:      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion*  HIT ALL THE GUIDELINES:      https://numpy.org/devdocs/dev/index.html#guidelines*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed-->
"
23343,0,0,275,0,0,charris,0,"title:TYP: Mark ``d`` argument to fftfreq and rfftfreq as optional in type stubs. description:Backport of #23327.The type stubs incorrectly mark this argument as mandatory. It has a default argument, per the docs: https://numpy.org/doc/stable/reference/generated/numpy.fft.fftfreq.htmlhttps://numpy.org/doc/stable/reference/generated/numpy.fft.rfftfreq.html<!--         ----------------------------------------------------------------                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!                ----------------------------------------------------------------*  FORMAT IT RIGHT:      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion*  HIT ALL THE GUIDELINES:      https://numpy.org/devdocs/dev/index.html#guidelines*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed-->
"
23342,0,0,275,0,0,charris,0,"title:TYP: Remove duplicate CLIP/WRAP/RAISE in __init__.pyi. description:Backport of #23326.These constants are defined twice in this file, to which pytype objects (mypy appears to tolerate this.)<!--         ----------------------------------------------------------------                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!                ----------------------------------------------------------------*  FORMAT IT RIGHT:      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion*  HIT ALL THE GUIDELINES:      https://numpy.org/devdocs/dev/index.html#guidelines*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed-->
"
23335,0,90,274,0,1,tylerjereddy,1,"title:BUG: ma with structured dtype description:Fixes #22041* add regression test and fix for creating a masked array with a structured dtype; the test is simply for lack of error in the repoducer* the concern expressed by core team in matching issue was that `astropy` might be negatively affected; I ran full `astropy` (hash: `c9ad7c56`) test suite locally with this feature branch and it seemed ""ok,"" just 1 unrelated network failure in the network-requiring tests (`test_ftp_tls_auto`):```1 failed, 21430 passed, 3490 skipped, 176 xfailed, 23275 warnings in 430.18s (0:07:10)```
"
23328,0,0,262,0,0,hawkinsp,0,"title:TYP: Add type annotations for comparison operators to MaskedArray. description:The comparison operators seem to be missing annotations; whereas pretty much every other operator is annotated.This causes pytype to conclude that the output of, say, `__gt__` is a regular ndarray, which isn't true.
"
23327,0,0,262,0,0,hawkinsp,0,"title:TYP: Mark ``d`` argument to fftfreq and rfftfreq as optional in type stubs description:The type stubs incorrectly mark this argument as mandatory. It has a default argument, per the docs: https://numpy.org/doc/stable/reference/generated/numpy.fft.fftfreq.htmlhttps://numpy.org/doc/stable/reference/generated/numpy.fft.rfftfreq.html
"
23326,0,0,262,0,0,hawkinsp,0,"title:TYP: Remove duplicate CLIP/WRAP/RAISE in __init__.pyi. description:These constants are defined twice in this file, to which pytype objects. (mypy appears to tolerate this.)
"
23324,1,41,264,0,0,snooppr,0,"title:BUG: numpy v1.23.5 latest version that works on windows 7 description:### Describe the issue:numpy v1.23.5 latest version that works on windows 7I tried all other versions (1.24; 1.24.1; 1.24.2) they are all installed, but when importing the numpy python module, it closes with an error, on the screen. Other versions of numpy work. Python3.8.10 32bit OS Windows 7 64bit.Since numpy 1.24 support for Windows7 has been dropped?![1](https://user-images.githubusercontent.com/61022210/222724611-fa38d098-17a8-4b54-8b38-d814585b9872.jpg)### Reproduce the code example:```pythonimport numpy```### Error message:```shellsee screenshot```### Runtime information:import numpy crash### Context for the issue:_No response_
"
23318,0,0,292,0,1,ngoldbaum,0,"title:BUG: Fix reference counting error in arraydescr_new description:Since `tp_alloc` is called a few lines above this, this call to `PyObject_Init` will generate a reference leak. It turns out the default implementation of `tp_alloc` in CPython [calls `PyObject_Init` implicitly](https://github.com/python/cpython/blob/71db5dbcd714b2e1297c43538188dd69715feb9a/Objects/typeobject.c#L1314).
"
23307,1,2129,286,0,1,djhoese,0,"title:BUG: np.size is no longer an instance of FunctionType (nightly/dev build) description:### Describe the issue:I have a package that has a CI environment that installs numpy and many other packages from their current unstable/dev versions (nightly builds) and runs the tests. A couple months ago (I think) we started running into a failure where one of our dependencies (holoviews) started crashing when performing the check `isinstance(np.size, types.FunctionType)`. We are not installing a dev version of holoviews. It seems to be tied to numpy's dev version.### Reproduce the code example:```pythonimport numpy as npimport typesassert isinstance(np.size, types.FunctionType)```### Error message:```shellN/A```### Runtime information:```[{'numpy_version': '1.25.0.dev0+831.g3b5eff00e',  'python': '3.9.13 | packaged by conda-forge | (main, May 27 2022, '            '16:56:21) \n'            '[GCC 10.3.0]',  'uname': uname_result(system='Linux', node='janet', release='6.0.12-76060006-generic', version='#202212290932~1674139725~22.04~ca93ccf SMP PREEMPT_DYNAMIC Thu J', machine='x86_64')}, {'simd_extensions': {'baseline': ['SSE', 'SSE2', 'SSE3'],                      'found': ['SSSE3',                                'SSE41',                                'POPCNT',                                'SSE42',                                'AVX',                                'F16C',                                'FMA3',                                'AVX2'],                      'not_found': ['AVX512F',                                    'AVX512CD',                                    'AVX512_KNL',                                    'AVX512_KNM',                                    'AVX512_SKX',                                    'AVX512_CLX',                                    'AVX512_CNL',                                    'AVX512_ICL']}}, {'architecture': 'Haswell',  'filepath': '/home/davidh/miniconda3/envs/satpy_py39_unstable2/lib/python3.9/site-packages/numpy.libs/libopenblas64_p-r0-15028c96.3.21.so',  'internal_api': 'openblas',  'num_threads': 12,  'prefix': 'libopenblas',  'threading_layer': 'pthreads',  'user_api': 'blas',  'version': '0.3.21'}]```### Context for the issue:I'm not sure how many packages have code like this, but holoviews has this bit of code:https://github.com/holoviz/holoviews/blob/4e83af3e6af0e19fa6c7e226791011372916fc70/holoviews/plotting/bokeh/hex_tiles.py#L26-L30```python    aggregator = param.ClassSelector(        default=np.size, class_=(types.FunctionType, tuple), doc=""""""      Aggregation function or dimension transform used to compute bin      values. Defaults to np.size to count the number of values      in each bin."""""")```And the `param` library does this check between that `class_` tuple and the `default` object (in this case `np.size`):https://github.com/holoviz/param/blob/cd1b4ae50c01c14c0eb22721e41a9c8fb1e8f738/param/__init__.py#L1381-L1385```        if is_instance:            if not (isinstance(val, class_)):                raise ValueError(                    ""%s parameter %r value must be an instance of %s, not %r."" %                    (param_cls, self.name, class_name, val))```I am not a holoviews developer, just use it for one small portion of my package (Satpy). As far as I can tell `np.size` is defined as a function here:https://github.com/numpy/numpy/blob/486878b37fc7439a3b2b87747f50db9b62fea8eb/numpy/core/fromnumeric.py#L3194-L3195So I'm lost as to where/how this is not being satisfied. I've seen the failure on Python 3.9 environments. I have not tried other versions of Python.
"
