num,label,code_len,con_num,keyword_num,keyword_fix,username,permission,ds
23234,0,1478,20,0,0,santoshmallah,0,"title:DRILL_TO_DETAIL Feature is not working. description:I am using ```superset 2.0.1``` and want to use DRILL_TO_DETAIL feature  My superset_config.py file look like```JSONFEATURE_FLAGS = {    'CLIENT_CACHE': False,    'ENABLE_EXPLORE_JSON_CSRF_PROTECTION': False,    'PRESTO_EXPAND_DATA': True,    'ENABLE_TEMPLATE_PROCESSING': True,    'ALERTS_ATTACH_REPORTS':True,    'ALLOW_ADHOC_SUBQUERY':True,    'DASHBOARD_CROSS_FILTERS':True,    'DASHBOARD_RBAC':True,    'DISABLE_LEGACY_DATASOURCE_EDITOR':True,    'DRUID_JOINS':True,    ""ALERT_REPORTS"": True,    'EMBEDDABLE_CHARTS':True,    'EMBEDDED_SUPERSET':True,    'ENABLE_DND_WITH_CLICK_UX':True,    'ENABLE_EXPLORE_DRAG_AND_DROP':True,    'ENFORCE_DB_ENCRYPTION_UI':True,    'ESCAPE_MARKDOWN_HTML':True,    'LISTVIEWS_DEFAULT_CARD_VIEW':True,    'SCHEDULED_QUERIES':True,    'SQLLAB_BACKEND_PERSISTENCE':True,    'SQL_VALIDATORS_BY_ENGINE':True,    'THUMBNAILS':True,    'ROW_LEVEL_SECURITY': True,    'ALLOW_FULL_CSV_EXPORT': True,    'THUMBNAILS_SQLA_LISTENERS': True,    'DASHBOARD_FILTERS_EXPERIMENTAL': True,    'DASHBOARD_NATIVE_FILTERS': True,    'HORIZONTAL_FILTER_BAR': True,    'ENABLE_DRUID_DASHBOARDING':True,#    'ENABLE_FILTER_BOX_MIGRATION':True,    'ENABLE_EXPLORE_DRAG_AND_DROP':True,    'DYNAMIC_PLUGINS':True,    'DASHBOARD_NATIVE_FILTERS_SET':True,    'DASHBOARD_EDIT_CHART_IN_NEW_TAB':True,    'CROSS_REFERENCES':True,    **'DRILL_TO_DETAIL':True,**    'FEATURE_DRILL_TO_DETAIL':True,    'UX_BETA':True,    'VERSIONED_EXPORT':True}```I have added ```'DRILL_TO_DETAIL':True``` in my configuration file, but the Drill to Detail option is still unavailable in apache superset.![image](https://user-images.githubusercontent.com/51262721/221852007-c8966a30-0d0a-478b-9e0a-cb987ca8b548.png)- browser type and version: Chrome- superset version: `2.0.1`- python version: `3.8.0`- node.js version: `v16.14.2`- any feature flags active:   ```'DRILL_TO_DETAIL':True```I have check preset chart drill to detail option is available in that.![image](https://user-images.githubusercontent.com/51262721/221852280-93675f83-ee58-4f70-9eba-4964367f3a76.png)How can I enable this feature in apache superset.Thanks in advance.
"
23220,0,0,246,0,0,sfirke,0,"title:""Enable cross-filtering"" checkbox icon + command offered to unauthorized users. description:In Superset 2.1.0rc1.  On a public-facing dashboard, the public user can see this:![image](https://user-images.githubusercontent.com/7569808/221663558-f37bb92f-9ea6-4ce2-8d7a-443ecfcc91ca.png)When they uncheck the box, they see the flash of a modal popup message: ""Sorry there was an error saving this dashboard: UNAUTHORIZED"" before being bounced to the login screen.### Expected resultsThe user should not be offered this gear icon and the associated checkbox if they don't have privileges to manipulate it.### Actual resultsIt's visible to the user.
"
23206,0,0,17,0,0,vivekDebugs,0,"title:Documentation typo. description:A clear and concise description of what the bug is.#### How to reproduce the bug1. Go to https://superset.apache.org/docs/creating-charts-dashboards/creating-your-first-dashboard#creating-charts-in-explore-view2. Scroll down a bit to see the following typo -> _'just **be** clicking'_### Expected resultsIt should be _'just **by** clicking'_.### Actual resultsIt is _'just **be** clicking'_.#### Screenshots![image](https://user-images.githubusercontent.com/49686162/221491513-4137eee7-b2af-4423-a2f3-4ee7471a15c1.png)### Environment- browser type and version: Brave - Version 1.48.171  Chromium: 110.0.5481.177 (Official Build)  (64-bit)- superset version: -- python version: -- node.js version: -- any feature flags active: -### ChecklistMake sure to follow these steps before submitting your issue - thank you!- [x] I have checked the superset logs for python stacktraces and included it here as text if there are any.- [x] I have reproduced the issue with at least the latest released version of superset.- [x] I have checked the issue tracker for the same issue and I haven't found one similar.### Additional context
"
23149,0,0,189,0,1,tooptoop4,0,"title:CVE-2023-23931 and CVE-2023-0286. description:https://github.com/apache/superset/blob/master/requirements/base.txt#L63 shows cryptography 39.0.0  Fixed Version is 39.0.1
"
23094,1,0,194,0,0,rohitpawar2811,0,"title:Unwanted User-Information leak in Filter-Bar (Owner/Created-User). description:Hi I have problem related to Filter-Box.I have an user whom I have allowed roles and some data-source permission , And In Current nature of superset in Filter-Box in field (Owner/Created-User) all users information is exposed![Screenshot from 2023-02-16 15-56-59](https://user-images.githubusercontent.com/72196393/219343370-3a9a5b09-5beb-439b-9e0b-482515b157cf.png)**Expected :** User can see only those user name whose Dastasources allowed to that user**Dependency :** - used superset-2.0.0-dev image**Questions**- Is this Resolved Already ? because I have seen that it is reported in some previous issue , but not solved by anyone- What is the things recommended to solve this problemThankyou in advance@rusackas @eschutho 
"
23090,1,0,21,0,0,88fingerslukee,0,"title:How to make LDAP packages install at build time. description:I'm trying to make python-ldap install at build time for the docker container. I can't figure out where to put the `apt-get `and `pip ` commands in the Dockerfile to get it to work.Can somebody please help? 
"
23070,1,0,3,1,0,anavasp,0,"title:Map chart color scheme in Edit screen does not match color scheme in regular views. description:I'm trying to build a dashboard with 4 map charts: 2 world maps and 2 country maps (more specifically, 2 Spain charts). The 2 world map charts are displayed as expected, but the other 2 country map charts are displayed with a seemingly random color scheme.When accessing the country map charts from the Charts menu, the charts are displayed properly and all settings can be changed as expected, including color scheme. However, one we go into the dashboard, the charts go ""rogue"" and if I try to edit them from the dashboard (by clicking on the 3 dots on the chart and clicking on ""Edit chart""), the Edit screen won't let me change the color scheme (I can't edit the color scheme of the world map charts like this either, but they're already working as expected).I've seen a similar bug (I think) to this one in [https://github.com/apache/superset/issues/20376](https://github.com/apache/superset/issues/20376) but I have not seen any hints as to how to solve my issue.#### How to reproduce the bug1. Create a Country map chart (only Spain has been tested) and choose a color scheme.2. Add the chart to a dashboard3. View country map chart on the dashboard.### Expected resultsThe country map chart should be displayed with the expected color scheme.### Actual resultsThe country map chart is displayed with a random color scheme.#### ScreenshotsDashboard screenshot. The 2 world map charts are displayed as expected but the country maps are not.![MicrosoftTeams-image (7)](https://user-images.githubusercontent.com/107985293/218510462-dee40865-22d3-475d-9aa0-d4b429ea914f.png)Editing the country map chart from the Charts menu. Note the ""Lineas Color Scheme"" setting, which is available for editing. The preview displays the chart as expected.![MicrosoftTeams-image (9)](https://user-images.githubusercontent.com/107985293/218511150-2dfab428-cb40-4c08-9d4f-2b138f51a823.png)The same chart, but the edit screen has been invoked from the chart menu in the dashboard. The last setting is greyed out.![MicrosoftTeams-image (10)](https://user-images.githubusercontent.com/107985293/218511306-6da8bd95-ff96-49e0-b6c7-c4f09b691df3.png)For comparison, here's one of the world map charts edit screen, once again accessed from the chart menu in the dashboard. The color scheme option is also greyed out, but this does not seem to affect the chart in the dashboard.![MicrosoftTeams-image (11)](https://user-images.githubusercontent.com/107985293/218511890-fc4a3989-a402-4551-80bd-37a5e131eb86.png)### Environment(please complete the following information):- browser type and version: tested on latest releases of Chrome and Edge on Windows 10 and MacOS.- superset version: `Superset 0.0.0-dev` (docker-compose, apache/superset:latest-dev)- python version: `3.8.13`- node.js version: - any feature flags active:### ChecklistMake sure to follow these steps before submitting your issue - thank you!- [x] I have checked the superset logs for python stacktraces and included it here as text if there are any.- [X] I have reproduced the issue with at least the latest released version of superset.- [X] I have checked the issue tracker for the same issue and I haven't found one similar.
"
23058,1,0,65,0,0,mato1411,0,"title:Charts not exists error but access permissions are given. description:Users see ""Error: The chart does not exist"" error in Dashboard but access permissions to datasource are given.#### How to reproduce the bugWe have our own Superset 2.0.1 instance running on EKS. A database connection to an Aurora instance is given. Based on the dataset `aurora.dataset1` 10 charts have been created and added to a Dashboard. A dedicated role has been created that grants users the permission `datasource access on [aurora].[dataset1](id:xx)`.A user opens the Dashboard.### Expected resultsNo error is shown. The charts are displayed.### Actual resultsOnly 8/10 charts are shown properly. 2 charts show the following error: ""Error: The chart does not exist""#### Screenshots![error-superset](https://user-images.githubusercontent.com/86957357/218071756-b1d91f26-a6d2-457d-beba-a1cab6874215.png)### Environment- Installation on EKS using Helm chart 0.8.4- browser type and version: Across all browsers- superset version: 2.0.1- any feature flags active: No### Checklist- [X] I have checked the superset logs for python stacktraces and included it here as text if there are any.- [X] I have reproduced the issue with at least the latest released version of superset.- [X] I have checked the issue tracker for the same issue and I haven't found one similar.### Additional context* The logs of all Superset pods not show any error.* In case a users with Admin role access the Dashboard, all charts are shown as expected.* In case a Admin users opens the chart and clicks on ""UPDATE CHART"", the chart is visible to the affected users for a couple of minutes. Afterwards, the error occurs again. Creating a copy of the affected chart not solves the problem.
"
23053,1,479,3,1,0,error691,0,"title:superset db upgrade failing on migration from 1.4.2 to 2.0.1. description:Hi,I'm trying to  upgrade superset from 1.4.2. After `superset db upgrade` I faced with migration error.```sqlalchemy.exc.IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""user_id"" violates not-null constraintDETAIL:  Failing row contains (4405, null).[SQL: INSERT INTO sl_dataset_users (dataset_id, user_id) SELECT sl_datasets.id AS dataset_id, sqlatable_user.user_idFROM sqlatable_user JOIN tables ON tables.id = sqlatable_user.table_id JOIN sl_datasets ON sl_datasets.uuid = tables.uuid](Background on this error at: http://sqlalche.me/e/13/gkpj)```#### How to reproduce the bugUpgrade from 1.4.2 to 2.0.1`superset db upgrade`### Expected resultsSuccessful migration. ### Actual results`INFO  [alembic.runtime.migration] Running upgrade cecc6bf46990 -> ad07e4fdbaba, rm_time_range_endpoints_from_qc_3slices updated with no time_range_endpoints: 4264INFO  [alembic.runtime.migration] Running upgrade ad07e4fdbaba -> a9422eeaae74, new_dataset_models_take_2>> Copy 220 physical tables to sl_tables...>> Copy 4,621 SqlaTable to sl_datasets...   Copy dataset owners...Traceback (most recent call last):  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1276, in _execute_context    self.dialect.do_execute(  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/default.py"", line 608, in do_execute    cursor.execute(statement, parameters)psycopg2.errors.NotNullViolation: null value in column ""user_id"" violates not-null constraintDETAIL:  Failing row contains (4405, null).The above exception was the direct cause of the following exception:Traceback (most recent call last):  File ""/ss_venv/bin/superset"", line 8, in <module>    sys.exit(superset())  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 1130, in __call__    return self.main(*args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/flask/cli.py"", line 567, in main    return super().main(*args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 1055, in main    rv = self.invoke(ctx)  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 1657, in invoke    return _process_result(sub_ctx.command.invoke(sub_ctx))  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 1657, in invoke    return _process_result(sub_ctx.command.invoke(sub_ctx))  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 1404, in invoke    return ctx.invoke(self.callback, **ctx.params)  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 760, in invoke    return __callback(*args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/click/decorators.py"", line 26, in new_func    return f(get_current_context(), *args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/flask/cli.py"", line 407, in decorator    return __ctx.invoke(f, *args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/click/core.py"", line 760, in invoke    return __callback(*args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/flask_migrate/cli.py"", line 150, in upgrade    _upgrade(directory, revision, sql, tag, x_arg)  File ""/ss_venv/lib64/python3.8/site-packages/flask_migrate/__init__.py"", line 111, in wrapped    f(*args, **kwargs)  File ""/ss_venv/lib64/python3.8/site-packages/flask_migrate/__init__.py"", line 200, in upgrade    command.upgrade(config, revision, sql=sql, tag=tag)  File ""/ss_venv/lib64/python3.8/site-packages/alembic/command.py"", line 378, in upgrade    script.run_env()  File ""/ss_venv/lib64/python3.8/site-packages/alembic/script/base.py"", line 569, in run_env    util.load_python_file(self.dir, ""env.py"")  File ""/ss_venv/lib64/python3.8/site-packages/alembic/util/pyfiles.py"", line 94, in load_python_file    module = load_module_py(module_id, path)  File ""/ss_venv/lib64/python3.8/site-packages/alembic/util/pyfiles.py"", line 110, in load_module_py    spec.loader.exec_module(module)  # type: ignore  File ""<frozen importlib._bootstrap_external>"", line 783, in exec_module  File ""<frozen importlib._bootstrap>"", line 219, in _call_with_frames_removed  File ""/ss_venv/lib64/python3.8/site-packages/superset/extensions/../migrations/env.py"", line 126, in <module>    run_migrations_online()  File ""/ss_venv/lib64/python3.8/site-packages/superset/extensions/../migrations/env.py"", line 118, in run_migrations_online    context.run_migrations()  File ""<string>"", line 8, in run_migrations  File ""/ss_venv/lib64/python3.8/site-packages/alembic/runtime/environment.py"", line 867, in run_migrations    self.get_context().run_migrations(**kw)  File ""/ss_venv/lib64/python3.8/site-packages/alembic/runtime/migration.py"", line 624, in run_migrations    step.migration_fn(**kw)  File ""/ss_venv/lib64/python3.8/site-packages/superset/migrations/versions/2022-04-01_14-38_a9422eeaae74_new_dataset_models_take_2.py"", line 876, in upgrade    copy_datasets(session)  File ""/ss_venv/lib64/python3.8/site-packages/superset/migrations/versions/2022-04-01_14-38_a9422eeaae74_new_dataset_models_take_2.py"", line 379, in copy_datasets    insert_from_select(  File ""/ss_venv/lib64/python3.8/site-packages/superset/migrations/versions/2022-04-01_14-38_a9422eeaae74_new_dataset_models_take_2.py"", line 102, in insert_from_select    return op.execute(query)  File ""<string>"", line 8, in execute  File ""<string>"", line 3, in execute  File ""/ss_venv/lib64/python3.8/site-packages/alembic/operations/ops.py"", line 2416, in execute    return operations.invoke(op)  File ""/ss_venv/lib64/python3.8/site-packages/alembic/operations/base.py"", line 401, in invoke    return fn(self, operation)  File ""/ss_venv/lib64/python3.8/site-packages/alembic/operations/toimpl.py"", line 207, in execute_sql    operations.migration_context.impl.execute(  File ""/ss_venv/lib64/python3.8/site-packages/alembic/ddl/impl.py"", line 202, in execute    self._exec(sql, execution_options)  File ""/ss_venv/lib64/python3.8/site-packages/alembic/ddl/impl.py"", line 193, in _exec    return conn.execute(  # type: ignore[call-overload]  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1011, in execute    return meth(self, multiparams, params)  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/sql/elements.py"", line 298, in _execute_on_connection    return connection._execute_clauseelement(self, multiparams, params)  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1124, in _execute_clauseelement    ret = self._execute_context(  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1316, in _execute_context    self._handle_dbapi_exception(  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1510, in _handle_dbapi_exception    util.raise_(  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/util/compat.py"", line 182, in raise_    raise exception  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1276, in _execute_context    self.dialect.do_execute(  File ""/ss_venv/lib64/python3.8/site-packages/sqlalchemy/engine/default.py"", line 608, in do_execute    cursor.execute(statement, parameters)sqlalchemy.exc.IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""user_id"" violates not-null constraintDETAIL:  Failing row contains (4405, null).[SQL: INSERT INTO sl_dataset_users (dataset_id, user_id) SELECT sl_datasets.id AS dataset_id, sqlatable_user.user_idFROM sqlatable_user JOIN tables ON tables.id = sqlatable_user.table_id JOIN sl_datasets ON sl_datasets.uuid = tables.uuid](Background on this error at: http://sqlalche.me/e/13/gkpj)`### Environment- Docker env- Base image: `centos8`- superset version: `2.0.1`- python version: `3.8.8`- Postgres version: `11.1`### ChecklistMake sure to follow these steps before submitting your issue - thank you!- [x] I have checked the superset logs for python stacktraces and included it here as text if there are any.- [x] I have reproduced the issue with at least the latest released version of superset.- [x] I have checked the issue tracker for the same issue and I haven't found one similar.### Additional contextAfter the migration fail tables sl_dataset_users and sl_datasets are absent in DB. I'm not able to reproduce the select `SELECT sl_datasets.id AS dataset_id, sqlatable_user.user_idFROM sqlatable_user JOIN tables ON tables.id = sqlatable_user.table_id JOIN sl_datasets ON sl_datasets.uuid = tables.uuid`A clean installation runs without any problems.It seams like the issue https://github.com/apache/superset/issues/20824
"
23048,1,0,11,0,0,chiweng2009,0,"title:upgrade to , something error in sqllab. description:upgrade from apache/superset:c2c8efc3c431cc81bdc93d3595c5c582eb721090  to apache/superset:b94052e438944b34ef30681e976bf1842ba4e0a5, some error in sqllab. help~Traceback (most recent call last):  File ""/usr/local/lib/python3.8/site-packages/flask/app.py"", line 1517, in full_dispatch_request    rv = self.dispatch_request()  File ""/usr/local/lib/python3.8/site-packages/flask/app.py"", line 1503, in dispatch_request    return self.ensure_sync(self.view_functions[rule.endpoint])(**req.view_args)  File ""/usr/local/lib/python3.8/site-packages/flask_appbuilder/security/decorators.py"", line 175, in wraps    return f(self, *args, **kwargs)  File ""/home/admin/fire-insight-analysis-ding/superset/views/sql_lab/views.py"", line 219, in put    db.session.query(TabState).filter_by(id=tab_state_id).update(fields)  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/orm/query.py"", line 3294, in update    result = self.session.execute(  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/orm/session.py"", line 1696, in execute    result = conn._execute_20(statement, params or {}, execution_options)  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1631, in _execute_20    return meth(self, args_10style, kwargs_10style, execution_options)  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py"", line 325, in _execute_on_connection    return connection._execute_clauseelement(  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1498, in _execute_clauseelement    ret = self._execute_context(  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1862, in _execute_context    self._handle_dbapi_exception(  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/engine/base.py"", line 2043, in _handle_dbapi_exception    util.raise_(  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/util/compat.py"", line 207, in raise_    raise exception  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/engine/base.py"", line 1819, in _execute_context    self.dialect.do_execute(  File ""/usr/local/lib/python3.8/site-packages/sqlalchemy/engine/default.py"", line 732, in do_execute    cursor.execute(statement, parameters)  File ""/usr/local/lib/python3.8/site-packages/MySQLdb/cursors.py"", line 206, in execute    res = self._query(query)  File ""/usr/local/lib/python3.8/site-packages/MySQLdb/cursors.py"", line 319, in _query    db.query(q)  File ""/usr/local/lib/python3.8/site-packages/MySQLdb/connections.py"", line 254, in query    _mysql.connection.query(self, query)sqlalchemy.exc.IntegrityError: (MySQLdb._exceptions.IntegrityError) (1452, 'Cannot add or update a child row: a foreign key constraint fails (`fire-insight-ding`.`tab_state`, CONSTRAINT `tab_state_latest_query_id_fkey` FOREIGN KEY (`latest_query_id`) REFERENCES `query` (`client_id`) ON DELETE SET NULL)')[SQL: UPDATE tab_state SET changed_on=%s, latest_query_id=%s, changed_by_fk=%s WHERE tab_state.id = %s][parameters: (datetime.datetime(2023, 2, 9, 9, 27, 32, 260966), 'Mvni5_2n7', 1, 22)](Background on this error at: https://sqlalche.me/e/14/gkpj)![FE55E0FC-6F63-4CD1-97C5-C108F811B965](https://user-images.githubusercontent.com/6847398/217777448-1b6e2485-8721-4f8c-9397-b4b71fe74b91.png)
"
